Dataset,TrainingTime,TestingTime,TrainingAccuracy,TestingAccuracy,TrainSize,TestSize,TSLen,MinLen,MaxLen
Adiac,10.37,0.013,100,48.0818,390,391,176,0.9,1
Adiac,10.53,0.013,100,48.3376,390,391,176,0.9,1
Adiac,10.8,0.013,100,45.2685,390,391,176,0.9,1
Adiac,10.85,0.011,100,46.2916,390,391,176,0.9,1
Adiac,12.39,0.013,100,45.0128,390,391,176,0.9,1
Adiac,12.82,0.012,100,47.0588,390,391,176,0.9,1
Adiac,12.8,0.015,100,48.0818,390,391,176,0.9,1
Adiac,13.04,0.013,100,47.3146,390,391,176,0.9,1
Adiac,14.27,0.013,100,49.6164,390,391,176,0.9,1
Adiac,14.54,0.013,100,41.1765,390,391,176,0.9,1
Adiac,14.49,0.022,100,45.2685,390,391,176,0.9,1
Adiac,15.1,0.023,100,44.5013,390,391,176,0.9,1
Adiac,15.55,0.013,100,47.5703,390,391,176,0.9,1
Adiac,15.93,0.026,100,41.9437,390,391,176,0.9,1
Adiac,17.12,0.025,100,46.5473,390,391,176,0.9,1
Adiac,18.05,0.022,100,46.0358,390,391,176,0.9,1
Adiac,18.4,0.023,100,46.5473,390,391,176,0.9,1
Adiac,21.06,0.014,100,50.8951,390,391,176,0.9,1
Adiac,27.09,0.024,100,46.8031,390,391,176,0.9,1
Adiac,14.28,0.021,100,43.734,390,391,176,0.9,1
Adiac,16.83,0.024,100,46.5473,390,391,176,0.9,1
Adiac,16.88,0.026,100,46.8031,390,391,176,0.9,1
Adiac,17.39,0.027,100,47.3146,390,391,176,0.9,1
Adiac,9.89,0.012,100,46.2916,390,391,176,0.9,1
Adiac,10.05,0.011,100,47.0588,390,391,176,0.9,1
Adiac,10.44,0.013,100,46.0358,390,391,176,0.9,1
Adiac,10.78,0.013,100,45.0128,390,391,176,0.9,1
Adiac,10.83,0.013,100,45.2685,390,391,176,0.9,1
Adiac,10.87,0.014,100,44.2455,390,391,176,0.9,1
Adiac,11.03,0.015,100,49.1049,390,391,176,0.9,1
Adiac,11.07,0.014,100,48.0818,390,391,176,0.9,1
Adiac,11.61,0.014,100,42.9668,390,391,176,0.9,1
Adiac,11.63,0.015,100,46.8031,390,391,176,0.9,1
Adiac,11.7,0.013,100,51.9182,390,391,176,0.9,1
Adiac,11.78,0.014,100,51.9182,390,391,176,0.9,1
Adiac,12.04,0.011,100,44.757,390,391,176,0.9,1
