Dataset,TrainingTime,TestingTime,TrainingAccuracy,TestingAccuracy,TrainSize,TestSize,TSLen,MinLen,MaxLen
50words,10973.69,0.283,100,47.9121,450,455,270,0.25,0.67
50words,12510.57,0.443,99.7778,50.989,450,455,270,0.25,0.67
50words,13034.6,0.277,100,46.1538,450,455,270,0.25,0.67
50words,14214.41,0.469,100,50.989,450,455,270,0.25,0.67
50words,15185.23,0.259,100,51.4286,450,455,270,0.25,0.67
50words,15255.19,0.289,100,44.8352,450,455,270,0.25,0.67
50words,15840.89,0.508,100,47.033,450,455,270,0.25,0.67
50words,16267.04,0.516,100,46.8132,450,455,270,0.25,0.67
50words,16410.21,0.266,100,48.7912,450,455,270,0.25,0.67
50words,17353.02,0.498,100,47.2527,450,455,270,0.25,0.67
50words,18290.14,0.348,100,45.4945,450,455,270,0.25,0.67
50words,18811.2,0.517,100,47.9121,450,455,270,0.25,0.67
50words,20287.71,0.518,100,49.2308,450,455,270,0.25,0.67
50words,20390.83,0.504,100,47.033,450,455,270,0.25,0.67
50words,21651.49,0.471,99.7778,47.9121,450,455,270,0.25,0.67
50words,23480.86,0.262,99.7778,46.3736,450,455,270,0.25,0.67
50words,30889.84,0.477,100,47.2527,450,455,270,0.25,0.67
50words,34973.95,0.466,100,43.7363,450,455,270,0.25,0.67
Adiac,173.13,0.074,100,49.6164,390,391,176,0.25,0.67
Adiac,176.99,0.082,100,50.8951,390,391,176,0.25,0.67
Adiac,179.18,0.087,100,51.1509,390,391,176,0.25,0.67
Adiac,188.69,0.091,100,53.7084,390,391,176,0.25,0.67
Adiac,191.9,0.081,100,42.711,390,391,176,0.25,0.67
Adiac,192.9,0.082,100,43.734,390,391,176,0.25,0.67
Adiac,192.83,0.059,100,49.3606,390,391,176,0.25,0.67
Adiac,193.92,0.082,100,53.4527,390,391,176,0.25,0.67
Adiac,194.54,0.088,100,50.8951,390,391,176,0.25,0.67
Adiac,196.66,0.077,100,46.8031,390,391,176,0.25,0.67
Adiac,200.32,0.062,100,50.8951,390,391,176,0.25,0.67
Adiac,202.6,0.076,100,44.757,390,391,176,0.25,0.67
Adiac,202.74,0.064,100,47.0588,390,391,176,0.25,0.67
Adiac,205.23,0.071,100,47.5703,390,391,176,0.25,0.67
Adiac,206.88,0.082,100,52.1739,390,391,176,0.25,0.67
Adiac,211.37,0.071,100,51.6624,390,391,176,0.25,0.67
Adiac,211.56,0.062,100,46.5473,390,391,176,0.25,0.67
Adiac,213.27,0.079,100,47.5703,390,391,176,0.25,0.67
Adiac,218.45,0.068,100,49.6164,390,391,176,0.25,0.67
Adiac,218.49,0.065,100,48.8491,390,391,176,0.25,0.67
Adiac,219.03,0.073,100,45.7801,390,391,176,0.25,0.67
Adiac,219.78,0.079,100,49.1049,390,391,176,0.25,0.67
Adiac,246.02,0.113,100,48.8491,390,391,176,0.25,0.67
Adiac,237.69,0.076,100,48.8491,390,391,176,0.25,0.67
Adiac,238.14,0.133,100,47.8261,390,391,176,0.25,0.67
Adiac,176.2,0.074,100,46.0358,390,391,176,0.25,0.67
Adiac,241.84,0.132,100,47.3146,390,391,176,0.25,0.67
Adiac,252.72,0.119,100,46.0358,390,391,176,0.25,0.67
Adiac,181.31,0.081,100,50.6394,390,391,176,0.25,0.67
Adiac,244.77,0.129,100,49.1049,390,391,176,0.25,0.67
Adiac,247.2,0.111,100,51.1509,390,391,176,0.25,0.67
Adiac,184.22,0.066,100,48.3376,390,391,176,0.25,0.67
Adiac,248.94,0.125,100,50.3836,390,391,176,0.25,0.67
Adiac,188.68,0.068,100,44.2455,390,391,176,0.25,0.67
Adiac,190.29,0.074,100,47.3146,390,391,176,0.25,0.67
Adiac,191.79,0.083,100,48.3376,390,391,176,0.25,0.67
Adiac,194.53,0.076,100,47.8261,390,391,176,0.25,0.67
Adiac,197.15,0.08,100,46.0358,390,391,176,0.25,0.67
Adiac,197.25,0.087,100,47.5703,390,391,176,0.25,0.67
Adiac,197.49,0.078,100,46.5473,390,391,176,0.25,0.67
Adiac,199.53,0.078,100,46.5473,390,391,176,0.25,0.67
Adiac,273.62,0.125,100,50.1279,390,391,176,0.25,0.67
Adiac,202.74,0.079,100,48.8491,390,391,176,0.25,0.67
Adiac,204.21,0.082,100,48.5934,390,391,176,0.25,0.67
Adiac,208.78,0.073,100,51.6624,390,391,176,0.25,0.67
Adiac,209.79,0.066,100,44.2455,390,391,176,0.25,0.67
Adiac,210.03,0.076,100,51.6624,390,391,176,0.25,0.67
Adiac,212.29,0.069,100,46.8031,390,391,176,0.25,0.67
Adiac,276.08,0.074,100,52.4297,390,391,176,0.25,0.67
Adiac,213.86,0.064,100,51.4066,390,391,176,0.25,0.67
Adiac,214.84,0.086,100,46.2916,390,391,176,0.25,0.67
Adiac,217.16,0.067,100,46.2916,390,391,176,0.25,0.67
Adiac,283.05,0.114,100,49.3606,390,391,176,0.25,0.67
Adiac,219.92,0.067,100,50.6394,390,391,176,0.25,0.67
Adiac,220.19,0.079,100,48.8491,390,391,176,0.25,0.67
Adiac,226.65,0.085,100,51.1509,390,391,176,0.25,0.67
Adiac,291.49,0.121,100,43.734,390,391,176,0.25,0.67
Adiac,234.79,0.132,100,52.4297,390,391,176,0.25,0.67
Adiac,246.99,0.144,100,49.3606,390,391,176,0.25,0.67
Adiac,311.06,0.126,100,49.1049,390,391,176,0.25,0.67
Adiac,240.3,0.075,100,52.4297,390,391,176,0.25,0.67
Adiac,240.41,0.132,100,45.0128,390,391,176,0.25,0.67
Adiac,251.79,0.118,100,48.5934,390,391,176,0.25,0.67
Adiac,181.58,0.067,100,46.5473,390,391,176,0.25,0.67
Adiac,253.79,0.136,100,47.5703,390,391,176,0.25,0.67
Adiac,255.95,0.126,100,47.5703,390,391,176,0.25,0.67
Adiac,247.74,0.139,100,48.8491,390,391,176,0.25,0.67
Adiac,185.06,0.079,100,46.0358,390,391,176,0.25,0.67
Adiac,250.88,0.11,100,48.3376,390,391,176,0.25,0.67
Adiac,188.52,0.09,100,43.734,390,391,176,0.25,0.67
Adiac,252.62,0.139,100,48.0818,390,391,176,0.25,0.67
Adiac,328,0.1,100,47.3146,390,391,176,0.25,0.67
Adiac,195.67,0.069,100,50.6394,390,391,176,0.25,0.67
Adiac,269.17,0.123,100,49.8721,390,391,176,0.25,0.67
Adiac,261.89,0.132,100,49.1049,390,391,176,0.25,0.67
Adiac,199.04,0.078,100,48.5934,390,391,176,0.25,0.67
Adiac,199.45,0.074,100,45.5243,390,391,176,0.25,0.67
Adiac,264.32,0.128,100,49.8721,390,391,176,0.25,0.67
Adiac,202.86,0.067,100,45.7801,390,391,176,0.25,0.67
Adiac,207.1,0.081,100,47.8261,390,391,176,0.25,0.67
Adiac,212.52,0.077,100,47.5703,390,391,176,0.25,0.67
Adiac,229.02,0.118,100,46.2916,390,391,176,0.25,0.67
Adiac,233.26,0.111,100,46.5473,390,391,176,0.25,0.67
Adiac,226.12,0.084,100,53.7084,390,391,176,0.25,0.67
Adiac,243.04,0.14,100,45.2685,390,391,176,0.25,0.67
Adiac,233.7,0.077,100,47.8261,390,391,176,0.25,0.67
Adiac,253.86,0.115,100,51.9182,390,391,176,0.25,0.67
Adiac,261.14,0.128,100,54.2199,390,391,176,0.25,0.67
Adiac,324.62,0.131,100,49.8721,390,391,176,0.25,0.67
Adiac,410.71,0.127,100,45.2685,390,391,176,0.25,0.67
Adiac,289.87,0.117,100,48.8491,390,391,176,0.25,0.67
Adiac,502.07,0.127,100,47.8261,390,391,176,0.25,0.67
Adiac,514.86,0.23,100,49.8721,390,391,176,0.25,0.67
Adiac,453.8,0.282,100,52.6854,390,391,176,0.25,0.67
Adiac,491.88,0.137,100,45.0128,390,391,176,0.25,0.67
Adiac,572.5,0.314,100,46.2916,390,391,176,0.25,0.67
Adiac,459.17,0.112,100,43.734,390,391,176,0.25,0.67
Adiac,552.39,0.301,100,42.4552,390,391,176,0.25,0.67
Adiac,510.06,0.238,100,48.0818,390,391,176,0.25,0.67
Adiac,518.5,0.3,100,50.6394,390,391,176,0.25,0.67
ArrowHead,17.57,0.034,100,66.8571,36,175,251,0.25,0.67
ArrowHead,17.89,0.034,100,65.1429,36,175,251,0.25,0.67
ArrowHead,16.26,0.043,100,64,36,175,251,0.25,0.67
ArrowHead,17.87,0.029,100,61.7143,36,175,251,0.25,0.67
ArrowHead,19.66,0.052,100,66.2857,36,175,251,0.25,0.67
ArrowHead,15.3,0.057,100,61.1429,36,175,251,0.25,0.67
ArrowHead,18.4,0.03,100,68.5714,36,175,251,0.25,0.67
ArrowHead,18.72,0.064,100,68.5714,36,175,251,0.25,0.67
ArrowHead,19.21,0.038,100,62.2857,36,175,251,0.25,0.67
ArrowHead,19.09,0.028,100,61.7143,36,175,251,0.25,0.67
ArrowHead,19.34,0.057,100,63.4286,36,175,251,0.25,0.67
ArrowHead,19.44,0.059,100,64.5714,36,175,251,0.25,0.67
ArrowHead,15.52,0.035,100,67.4286,36,175,251,0.25,0.67
ArrowHead,19.09,0.044,100,62.8571,36,175,251,0.25,0.67
ArrowHead,19.09,0.031,100,62.2857,36,175,251,0.25,0.67
ArrowHead,18.97,0.048,100,67.4286,36,175,251,0.25,0.67
ArrowHead,16.35,0.041,100,65.1429,36,175,251,0.25,0.67
ArrowHead,17.33,0.019,100,61.7143,36,175,251,0.25,0.67
ArrowHead,17.9,0.027,100,60.5714,36,175,251,0.25,0.67
ArrowHead,18.03,0.037,100,63.4286,36,175,251,0.25,0.67
ArrowHead,18.02,0.029,100,68.5714,36,175,251,0.25,0.67
ArrowHead,16.72,0.034,100,65.7143,36,175,251,0.25,0.67
ArrowHead,12.03,0.026,100,54.8571,36,175,251,0.25,0.67
ArrowHead,15.6,0.043,100,64.5714,36,175,251,0.25,0.67
ArrowHead,16.75,0.038,100,57.1429,36,175,251,0.25,0.67
ArrowHead,17.35,0.048,100,64,36,175,251,0.25,0.67
ArrowHead,18.57,0.039,100,56,36,175,251,0.25,0.67
ArrowHead,22.66,0.035,100,66.8571,36,175,251,0.25,0.67
ArrowHead,16.19,0.046,100,62.2857,36,175,251,0.25,0.67
ArrowHead,17.58,0.034,100,62.2857,36,175,251,0.25,0.67
ArrowHead,18.21,0.043,100,63.4286,36,175,251,0.25,0.67
ArrowHead,14.88,0.041,100,64.5714,36,175,251,0.25,0.67
ArrowHead,17.79,0.038,100,60.5714,36,175,251,0.25,0.67
ArrowHead,19.43,0.061,100,62.2857,36,175,251,0.25,0.67
ArrowHead,18.53,0.049,100,61.7143,36,175,251,0.25,0.67
ArrowHead,8.88,0.03,100,63.4286,36,175,251,0.25,0.67
ArrowHead,15.48,0.043,100,63.4286,36,175,251,0.25,0.67
ArrowHead,11.1,0.016,100,65.7143,36,175,251,0.25,0.67
ArrowHead,16.2,0.042,100,62.8571,36,175,251,0.25,0.67
ArrowHead,16.64,0.042,100,64,36,175,251,0.25,0.67
ArrowHead,17.35,0.033,100,59.4286,36,175,251,0.25,0.67
ArrowHead,9.62,0.026,100,65.1429,36,175,251,0.25,0.67
ArrowHead,17.19,0.032,100,58.8571,36,175,251,0.25,0.67
ArrowHead,18.13,0.055,100,70.8571,36,175,251,0.25,0.67
ArrowHead,20.36,0.059,100,62.2857,36,175,251,0.25,0.67
ArrowHead,14.92,0.052,100,65.7143,36,175,251,0.25,0.67
ArrowHead,19.33,0.052,100,64.5714,36,175,251,0.25,0.67
ArrowHead,15.91,0.032,100,60,36,175,251,0.25,0.67
ArrowHead,16.25,0.033,100,65.7143,36,175,251,0.25,0.67
