Dataset,TrainingTime,TestingTime,TrainingAccuacy,TestingAccuracy,TrainSize,TestSize,TSLen,MinLen,MaxLen,EnsembleSize
SwedishLeaf,4335.12,0.5140,100.0000,81.4400,500,625,128,0.800000,1.000000,10
DistalPhalanxOutlineAgeGroup,1512.61,0.3600,100.0000,80.5000,139,400,80,0.700000,1.000000,10
DistalPhalanxOutlineAgeGroup,1815.01,0.3700,100.0000,83.0000,139,400,80,0.700000,1.000000,10
SwedishLeaf,4665.39,0.4920,100.0000,83.3600,500,625,128,0.800000,1.000000,10
DistalPhalanxOutlineAgeGroup,1824.63,0.3650,100.0000,83.2500,139,400,80,0.700000,1.000000,10
DistalPhalanxOutlineAgeGroup,1745.88,0.3470,100.0000,83.0000,139,400,80,0.700000,1.000000,10
DistalPhalanxOutlineAgeGroup,1596.32,0.3130,100.0000,80.2500,139,400,80,0.700000,1.000000,10
SwedishLeaf,4206.35,0.4950,100.0000,84.0000,500,625,128,0.800000,1.000000,10
DistalPhalanxOutlineAgeGroup,1635.07,0.3570,100.0000,82.2500,139,400,80,0.700000,1.000000,10
DistalPhalanxOutlineAgeGroup,1641.56,0.3740,100.0000,81.2500,139,400,80,0.700000,1.000000,10
SwedishLeaf,4020.49,0.5120,100.0000,83.8400,500,625,128,0.800000,1.000000,10
DistalPhalanxOutlineAgeGroup,1740.83,0.3620,100.0000,81.7500,139,400,80,0.700000,1.000000,10
SwedishLeaf,5969.14,0.5350,100.0000,82.5600,500,625,128,0.800000,1.000000,10
MALLAT,894.30,4.3150,100.0000,93.5181,55,2345,1024,0.800000,1.000000,10
MALLAT,829.64,4.6430,100.0000,93.3902,55,2345,1024,0.800000,1.000000,10
MALLAT,766.67,4.9770,100.0000,92.7079,55,2345,1024,0.800000,1.000000,10
MALLAT,805.38,4.0830,100.0000,93.4328,55,2345,1024,0.800000,1.000000,10
MALLAT,944.44,5.2140,100.0000,93.1770,55,2345,1024,0.800000,1.000000,10
MALLAT,945.95,4.4860,100.0000,92.4520,55,2345,1024,0.800000,1.000000,10
MALLAT,667.09,4.1290,100.0000,93.8593,55,2345,1024,0.800000,1.000000,10
MALLAT,793.83,4.6290,100.0000,93.2196,55,2345,1024,0.800000,1.000000,10
MALLAT,881.50,4.7080,100.0000,88.4435,55,2345,1024,0.800000,1.000000,10
MALLAT,710.77,4.1210,100.0000,93.3475,55,2345,1024,0.800000,1.000000,10
InsectWingbeatSound,696.52,3.2390,100.0000,58.6364,220,1980,256,0.900000,1.000000,10
InsectWingbeatSound,373.75,3.0960,100.0000,57.7778,220,1980,256,0.900000,1.000000,10
InsectWingbeatSound,657.79,3.0970,100.0000,58.4848,220,1980,256,0.900000,1.000000,10
InsectWingbeatSound,515.13,3.0520,100.0000,57.4747,220,1980,256,0.900000,1.000000,10
InsectWingbeatSound,331.57,3.0280,100.0000,58.9394,220,1980,256,0.900000,1.000000,10
InsectWingbeatSound,670.83,3.1330,100.0000,58.7879,220,1980,256,0.900000,1.000000,10
InsectWingbeatSound,352.51,2.9140,100.0000,58.1818,220,1980,256,0.900000,1.000000,10
InsectWingbeatSound,322.83,2.9550,100.0000,57.9293,220,1980,256,0.900000,1.000000,10
InsectWingbeatSound,420.80,3.0730,100.0000,57.0202,220,1980,256,0.900000,1.000000,10
InsectWingbeatSound,455.33,3.2000,100.0000,57.3737,220,1980,256,0.900000,1.000000,10
